No,Langitude,Latitude,Kasus LP,Mati Lp
1,285.624,360.177,19,2
2,316.482,416.029,10,2
3,372.465,477.044,21,4
4,356.000,500.922,5,5
5,345.667,607.111,4,5
6,411.501,744.456,8,7
7,273.085,853.165,30,9
8,175.463,796.457,31,0
9,264.223,746.210,13,2
10,268.767,648.833,18,11
11,231.833,699.254,15,3
12,214.637,606.932,9,7
13,272.840,539.605,13,2
14,242.286,467.579,16,0
15,207.030,433.947,1,0
16,212.336,388.706,4,2
17,37.458,440.903,1,5
18,137.512,486.030,11,3
19,193.180,554.315,6,3
20,68.070,619.623,9,0
21,102.402,657.313,11,1
22,96.241,753.623,1,0
23,159.087,781.666,20,0
24,136.265,819.849,34,0
25,166.729,896.318,11,0
26,75.827,938.022,2,0
27,54.101,814.732,4,0
28,69.456,761.095,4,0
29,193.000,690.533,49,0
30,164.893,718.456,38,0
31,167.760,704.442,29,0